Etablissement;Filière de formation;Filière de formation très détaillée;Capacité de l’établissement par formation;Dont effectif des admis néo bacheliers sans information sur la mention au bac;Dont effectif des admis néo bacheliers sans mention au bac;Dont effectif des admis néo bacheliers avec mention Assez Bien au bac;Dont effectif des admis néo bacheliers avec mention Bien au bac;Dont effectif des admis néo bacheliers avec mention Très Bien au bac;Dont effectif des admis néo bacheliers avec mention Très Bien avec félicitations au bac;% d’admis néo bacheliers sans information sur la mention au bac;% d’admis néo bacheliers sans mention au bac;% d’admis néo bacheliers avec mention Assez Bien au bac;% d’admis néo bacheliers avec mention Bien au bac;% d’admis néo bacheliers avec mention Très Bien au bac;% d’admis néo bacheliers avec mention Très Bien avec félicitations au bac;Effectif total des candidats ayant accepté la proposition de l’établissement (admis);Effectif total des candidats pour une formation
Lycée Albert Schweitzer;CPGE - PCSI;;48;0;1;5;3;2;0;0;9;45;27;18;0;16;536
Lycée Gaston Berger;Diplôme de Comptabilité et de Gestion;;48;0;4;20;14;7;1;0;9;43;30;15;2;48;1050
Lycée Francois Ier;CPGE - MPSI;;48;0;0;2;14;28;4;0;0;4;29;58;8;48;885
Lycée Saint-Joseph;CPGE - ECG -  - Mathématiques appliquées + ESH;;48;0;2;4;5;2;0;0;15;31;38;15;0;16;138
Lycée Berthollet;CPGE - Lettres;;48;0;1;9;18;4;1;0;3;27;55;12;3;36;572
Lycée du Parc;CPGE - ECG;;48;0;0;0;7;36;3;0;0;0;15;78;7;48;1820
Lycée De L'Europe;CPGE - PTSI;;48;0;3;1;2;0;0;0;50;17;33;0;0;30;246
Lycée Auguste Brizeux;CPGE - PCSI;;48;0;1;12;11;1;0;0;4;48;44;4;0;33;939
Lycée Emmanuel d'Alzon;CPGE - MPSI;;48;0;2;8;5;0;0;0;13;53;33;0;0;37;620
Université de La Rochelle;CPGE - ECG -  - Mathématiques appliquées + ESH;;48;0;8;13;5;2;0;0;29;46;18;7;0;31;379
Lycée Pierre De Fermat;CPGE - Lettres;;48;0;0;1;11;28;7;0;0;2;23;60;15;47;1114
Lycée de Cornouaille;CPGE - Lettres;;48;0;2;10;24;10;0;0;4;22;52;22;0;46;619
Lycée BENJAMIN FRANKLIN;CPGE - PTSI;;48;0;3;6;5;0;0;0;21;43;36;0;0;27;368
Lycée Hélène Boucher;CPGE - ECG -  Mathématiques approfondies + HGG;;48;0;6;14;11;1;0;0;19;44;34;3;0;37;740
Lycée Michelet;CPGE - ECG -  - Mathématiques approfondies + HGG;;48;0;0;3;24;20;1;0;0;6;50;42;2;48;871
Lycée Carnot;CPGE - ECG;;48;0;0;5;26;16;0;0;0;11;55;34;0;48;2922
Lycée Saint Luc Cambrai;Diplôme de Comptabilité et de Gestion;;48;0;7;5;4;3;0;0;37;26;21;16;0;23;201
Lycée Claude Fauriel;CPGE - MP2I;;48;0;0;3;20;19;1;0;0;7;47;44;2;44;1312
Lycée Chaptal;CPGE - ECG -  - Mathématiques approfondies + HGG;;48;0;2;6;24;2;0;0;6;18;71;6;0;45;1066
Lycée Janson De Sailly;CPGE - ECG;;48;0;0;1;14;30;0;0;0;2;31;67;0;45;2765
Lycée Lakanal;CPGE - ECG -  - Mathématiques approfondies + HGG;;48;0;0;0;5;34;7;0;0;0;11;74;15;46;1380
Lycée Gustave Flaubert;CPGE - ECG -  - Mathématiques appliquées + ESH;;48;0;1;12;18;11;1;0;2;28;42;26;2;44;719
Lycée Louis Le Grand;CPGE - ECG -  - Mathématiques approfondies + HGG;;48;0;0;0;2;29;17;0;0;0;4;60;35;50;1880
Lycée Lavoisier;CPGE - ECG -  - Mathématiques approfondies + HGG;;48;0;0;5;27;15;2;0;0;10;55;31;4;52;1232
Ecole Nationale De Commerce;CPGE - ECG -  - Mathématiques appliquées + ESH;;48;0;7;9;15;6;0;0;19;24;41;16;0;37;2047
Lycée Marie De Champagne;CPGE - ECG -  - Mathématiques appliquées + ESH;;48;0;2;7;5;1;0;0;13;47;33;7;0;16;233
Lycée Dupuy De Lôme;CPGE - ECG -  - Mathématiques appliquées + HGG;;48;0;1;11;5;0;0;0;6;65;29;0;0;19;351
Lycée Ernest Renan;CPGE - Lettres;;48;0;1;3;19;11;0;0;3;9;56;32;0;36;351
Lycée Joliot-Curie;CPGE - Lettres;;48;0;6;2;7;4;0;0;32;11;37;21;0;19;269
Lycée Malherbe;CPGE - ECG -  - Mathématiques appliquées + HGG;;48;0;1;10;13;7;0;0;3;32;42;23;0;31;364
Lycée Laperouse;CPGE - PCSI;;48;0;0;10;21;8;0;0;0;26;54;21;0;46;922
Université de La Réunion - Saint Denis;Cycle pluridisciplinaire d'Études Supérieures - Sciences pour l'ingénieur - Economie;;48;0;6;12;2;3;1;0;25;50;8;12;4;26;161
Lycée Billières;BTS - Services - Management Commercial Opérationnel;;48;0;11;11;3;1;0;0;42;42;12;4;0;31;648
Lycée général Gabriel Guist'Hau;CPGE - B/L - Lettres et sciences sociales;;48;0;0;0;10;31;6;0;0;0;21;66;13;48;1309
Lycée Marie Curie;BTS - Services - Analyses de biologie médicale;;48;0;12;16;4;0;0;0;38;50;12;0;0;45;2148
Lycée Marie Curie;BTS - Services - Comptabilité et gestion;;48;0;11;14;1;0;0;0;42;54;4;0;0;46;1068
Lycée Dumont d'Urville;CPGE - MPSI;;48;0;1;6;29;8;0;0;2;14;66;18;0;46;1228
ES Vichy;BTS - Services - Tourisme;;48;0;9;14;2;1;0;0;35;54;8;4;0;36;154
Lycée Carnot;CPGE - Lettres;;48;0;1;7;12;6;1;0;4;26;44;22;4;30;563
Lycée Les Eucalyptus;CPGE - PCSI;;48;0;2;14;8;2;0;0;8;54;31;8;0;37;726
Lycée Turgot;BTS - Services - Services informatiques aux organisations;;48;0;9;17;12;1;0;0;23;44;31;3;0;48;2724
Lycée Hélène Boucher;CPGE - Lettres;;48;0;4;14;20;11;1;0;8;28;40;22;2;50;877
Lycée Saint-Sernin;CPGE - B/L - Lettres et sciences sociales;;48;0;0;0;12;30;5;0;0;0;26;64;11;47;1227
Lycée F Philibert Dessaignes;CPGE - MPSI;;48;0;0;3;17;7;1;0;0;11;61;25;4;30;906
Lycée Camille Guérin;CPGE - PCSI;;48;0;0;3;8;10;1;0;0;14;36;45;5;26;1101
IRTS de Franche-Comté;D.E Educateur Spécialisé;;48;0;4;2;3;0;0;0;44;22;33;0;0;51;193
Lycée Claude Fauriel;CPGE - Lettres;;48;0;0;13;12;7;1;0;0;39;36;21;3;35;442
Lycée Camille Guérin;CPGE - Lettres;;48;0;2;8;19;12;0;0;5;20;46;29;0;45;517
Lycée Francois Rabelais;CPGE - MPSI;;48;0;0;8;31;9;0;0;0;17;65;19;0;48;944
Lycée Jean Rostand;CPGE - BCPST;;48;0;0;2;7;29;7;0;0;4;16;64;16;47;1333
Lycée Fustel De Coulanges;CPGE - B/L - Lettres et sciences sociales;;48;0;0;3;7;24;1;0;0;9;20;69;3;36;1045
Institut Limayrac;BTS - Services - Tourisme;;48;0;16;10;4;0;0;0;53;33;13;0;0;46;334
Lycée International de Valbonne;CPGE - MPSI;;48;0;0;3;17;27;1;0;0;6;35;56;2;48;1251
Lycée Polyvalent Gabriel Touchard - Washington;CPGE - ECG -  - Mathématiques approfondies + HGG;;48;0;0;7;9;2;0;0;0;39;50;11;0;23;279
Lycée général Clemenceau;CPGE - Lettres;;48;0;0;3;20;23;2;0;0;6;42;48;4;48;938
Lycée Montesquieu;CPGE - MPSI;;48;0;0;3;19;17;1;0;0;8;48;42;2;43;1011
IFSI Bastia;D.E Infirmier;;48;0;1;11;13;0;0;0;4;44;52;0;0;48;910
Lycée Camille Guérin;CPGE - MPSI;;48;0;0;3;17;26;2;0;0;6;35;54;4;48;1283
Lycée Gustave Eiffel;CPGE - PTSI;;48;0;0;6;16;11;1;0;0;18;47;32;3;38;330
Ecole nationale supérieure d'art de Bourges;Diplôme National d'Art option art;;48;0;1;2;4;1;0;0;12;25;50;12;0;34;327
Lycée Claude Bernard;CPGE - PCSI;;48;0;0;9;22;6;0;0;0;24;59;16;0;39;1178
Lycée Carnot;CPGE - PCSI;;48;0;1;0;28;16;0;0;2;0;62;36;0;47;1706
Lycée Henri Bergson-Jacquard;BTS - Production - Assistance technique d'ingénieur;;48;0;9;9;10;2;0;0;30;30;33;7;0;53;758
Université de Franche-Comté - Site de Belfort;Licence - Sciences pour l'ingénieur - Parcours Choix d'1 parcours (en 3e année de Licence) : Ingénierie électrique et énergie / Thermique et énergétique;Choix d'1 parcours (en 3e année de Licence) : Ingénierie électrique et énergie / Thermique et énergétique;48;0;6;2;1;0;0;0;67;22;11;0;0;13;217
Lycée Saint-Marc;CPGE - B/L - Lettres et sciences sociales;;48;0;0;5;19;19;1;0;0;11;43;43;2;45;599
Lycée La Martinière Duchère;BTS - Services - Services informatiques aux organisations;;48;0;16;14;6;1;0;0;43;38;16;3;0;49;1468
Lycée Jean-Francois Millet;CPGE - Lettres;;48;0;2;15;16;12;0;0;4;33;36;27;0;45;250
IUT GRAND OUEST NORMANDIE - Pôle de Cherbourg - Site de Cherbourg-en-Cotentin;BUT - Génie électrique et informatique industrielle;;48;0;7;15;7;0;0;0;24;52;24;0;0;36;324
Lycée Franklin Roosevelt;CPGE - PTSI;;48;0;3;8;16;5;0;0;9;25;50;16;0;46;402
Lycée Assomption Bellevue;CPGE - BCPST;;48;0;2;7;20;10;0;0;5;18;51;26;0;41;1013
I.U.T de Béziers;BUT - Métiers du multimédia et de l'internet;;48;0;8;21;8;1;0;0;21;55;21;3;0;52;1507
Lycée BELLEVUE;CPGE - MPSI;;48;0;0;0;5;38;4;0;0;0;11;81;9;48;2768
Lycée Camille Guérin;CPGE - MP2I;;48;0;0;8;28;11;1;0;0;17;58;23;2;48;799
Lycée Alain René Lesage;CPGE - MP2I;;48;0;0;2;29;18;1;0;0;4;58;36;2;50;651
I.U.T de Belfort-Montbéliard;BUT - Métiers de la Transition et de l'Efficacité Énergétiques;;48;0;15;5;2;0;0;0;68;23;9;0;0;27;303
Lycée Louis Armand;BTS - Services - Services informatiques aux organisations;;48;0;14;15;9;3;0;0;34;37;22;7;0;51;2301
Lycée Henri IV;CPGE - B/L - Lettres et sciences sociales;;48;0;0;0;0;10;37;0;0;0;0;21;79;47;2032
LGT Saint-Stanislas;CPGE - PCSI;;48;0;0;5;23;4;0;0;0;16;72;12;0;33;641
Lycée St Pierre La Joliverie;BTS - Services - Comptabilité et gestion;;48;0;7;6;3;0;0;0;44;38;19;0;0;41;362
Lycée Raspail;CPGE - PCSI;;48;0;1;7;16;2;0;0;4;27;62;8;0;31;1189
Lycée La Croix Rouge;CPGE - PTSI;;48;0;1;11;4;1;0;0;6;65;24;6;0;23;164
Lycée Jeanne D'Albret;CPGE - MPSI;;48;0;0;0;28;17;1;0;0;0;61;37;2;46;1193
I.U.T. de Montreuil;BUT - Qualité, logistique industrielle et organisation;;48;0;21;10;4;0;0;0;60;29;11;0;0;44;784
Lycée Louis Pasteur;CPGE - Lettres;;48;0;1;8;27;15;2;0;2;15;51;28;4;54;344
Lycée Gustave Eiffel;CPGE - Prépa ENS - Rennes;Prépa ENS - Rennes;48;0;0;3;31;10;3;0;0;6;66;21;6;47;1102
Lycée Gustave Eiffel;CPGE - Prépa ENS Paris-Saclay;Prépa ENS Paris-Saclay;48;0;0;5;11;2;0;0;0;28;61;11;0;19;493
Lycée Blaise Pascal;CPGE - BCPST;;48;0;1;3;31;4;0;0;3;8;79;10;0;39;1376
Lycée Claude Monet;CPGE - ECG -  - Mathématiques appliquées + ESH;;48;0;1;15;17;3;1;0;3;41;46;8;3;40;2128
Lycée général et technologique Henri Bergson;CPGE - MPSI;;48;0;0;0;11;35;2;0;0;0;23;73;4;48;1749
Lycée Vauban;CPGE - PTSI;;48;0;0;4;4;2;0;0;0;40;40;20;0;13;817
Lycée Ozenne;CPGE - BCPST;;48;0;0;0;18;30;0;0;0;0;38;62;0;49;1866
I.U.T de Belfort-Montbéliard - Site de Montbéliard;BUT - Mesures physiques;;48;0;6;9;4;0;0;0;32;47;21;0;0;32;421
Lycée Fenelon;CPGE - Lettres;;48;0;3;7;11;9;1;0;10;23;35;29;3;32;267
Lycée Mariette;CPGE - MPSI;;48;0;1;4;8;5;1;0;5;21;42;26;5;20;395
Lycée Louis Thuillier;CPGE - MP2I;;48;0;1;9;20;5;0;0;3;26;57;14;0;35;854
Lycée Montaigne;CPGE - MP2I;;48;0;0;0;14;30;2;0;0;0;30;65;4;46;1804
Lycée Robespierre;CPGE - MPSI;;48;0;2;15;16;11;1;0;4;33;36;24;2;47;782
Lycée Francois Ier;CPGE - PCSI;;48;0;0;5;16;10;2;0;0;15;48;30;6;33;668
Lycée Montesquieu;CPGE - Lettres;;48;0;4;9;12;4;0;0;14;31;41;14;0;31;423
Lycée Gay-Lussac;CPGE - PCSI;;48;0;1;11;20;14;0;0;2;24;43;30;0;48;684
LGT Saint-Stanislas;CPGE - MPSI;;48;0;0;3;23;21;0;0;0;6;49;45;0;48;796
Lycée Paul Eluard;BTS - Services - Analyses de biologie médicale;;48;0;10;10;2;0;0;0;45;45;9;0;0;42;2078
Lycée Buffon;CPGE - MPSI;;48;0;0;4;22;14;2;0;0;10;52;33;5;46;2528
Lycée Turgot;Diplôme de Comptabilité et de Gestion;;48;0;1;10;22;4;0;0;3;27;59;11;0;44;2439
Lycée Henri IV;CPGE - PCSI;;48;0;0;0;1;20;26;0;0;0;2;42;54;48;3964
Lycée Henri IV;CPGE - Ecole nationale des Chartes;;48;0;0;2;15;24;6;0;0;4;32;51;13;48;380
Université Jean Moulin Lyon 3;Licence - Gestion - Parcours Business et management;Business et management;48;0;0;2;19;18;3;0;0;5;45;43;7;48;2078
Lycée Gay-Lussac;CPGE - MPSI;;48;0;0;2;21;21;3;0;0;4;45;45;6;47;960
Lycée Gay-Lussac;CPGE - Lettres;;48;0;1;8;21;17;1;0;2;17;44;35;2;48;374
I.U.T de Blagnac;BUT - Carrières sociales parcours coordination et gestion des établissements et services sanitaires et sociaux;;48;0;16;10;8;0;0;0;47;29;24;0;0;47;768
I.U.T de Chalon-Sur-Saône;BUT - Science et génie des matériaux;;48;0;6;9;5;0;0;0;30;45;25;0;0;27;404
Lycée Emmanuel d'Alzon;CPGE - TSI;;48;0;1;10;3;1;0;0;7;67;20;7;0;20;158
IFSI CH Bagnols Sur Ceze;D.E Infirmier;;48;0;4;10;12;2;0;0;14;36;43;7;0;52;5926
IFSI EPSM DE LA SARTHE;D.E Infirmier;;48;0;10;15;5;1;0;0;32;48;16;3;0;48;1998
Lycée du Parc;CPGE - MP2I;;48;0;0;0;2;30;15;0;0;0;4;64;32;47;2518
ISA BTP;Formation d'ingénieur Bac + 5 - bac S,STI2D;bac S,STI2D;48;0;0;3;27;15;0;0;0;7;60;33;0;47;417
Lycée Honoré De Balzac;CPGE - PCSI;;48;0;2;14;11;4;0;0;6;45;35;13;0;33;2104
Ecole Nationale De Commerce;CPGE - ECT - Option technologique;;48;0;0;14;25;9;1;0;0;29;51;18;2;49;767
Lycée Claude Fauriel;CPGE - MPSI;;48;0;0;2;25;13;1;0;0;5;61;32;2;42;1513
Lycée général et technologique Henri Bergson;CPGE - Lettres;;48;0;1;5;17;4;0;0;4;19;63;15;0;27;592
Lycée Francois Ier;CPGE - BCPST;;48;0;0;3;30;10;1;0;0;7;68;23;2;44;887
I.U.T de Chalon-Sur-Saône;BUT - Génie industriel et maintenance;;48;0;7;5;0;0;0;0;58;42;0;0;0;23;326
Lycée Victor Grignard;CPGE - MPSI;;48;0;0;4;12;15;2;0;0;12;36;45;6;34;421
Lycée Turgot;CPGE - PCSI;;48;0;6;20;15;2;0;0;14;47;35;5;0;43;1783
Lycée Turgot;CPGE - ECT - Option technologique;;48;0;0;8;21;16;0;0;0;18;47;36;0;46;853
Université d'Artois - Site de Béthune;Licence - Sciences pour l'ingénieur;;48;0;2;2;1;0;0;0;40;40;20;0;0;15;272
Lycée Frédéric Chopin;BTS - Services - Négociation et digitalisation de la Relation Client;;48;0;13;18;7;2;0;0;32;45;18;5;0;44;1318
Lycée Parc de Vilgenis;CPGE - ECG -  - Mathématiques appliquées + HGG;;48;0;1;8;6;0;0;0;7;53;40;0;0;17;298
I.U.T Clermont Auvergne - site d'Aubière;BUT - Génie industriel et maintenance;;48;0;5;22;5;3;0;0;14;63;14;9;0;43;500
Lycée Paul Cezanne;CPGE - MPSI;;48;0;0;0;16;29;3;0;0;0;33;60;6;48;1892
Lycée Thiers;CPGE - Lettres;;48;0;0;3;16;23;5;0;0;6;34;49;11;48;713
Lycée Claude Fauriel;CPGE - BCPST;;48;0;0;11;29;4;0;0;0;25;66;9;0;44;1214
Lycée Hector Berlioz;CPGE - ECG - Mathématiques appliquées + ESH;;48;0;10;10;6;2;0;0;36;36;21;7;0;42;926
Lycée des Métiers - Hotelier;Mise à niveau - Hôtellerie restauration;;48;0;8;9;10;1;0;0;29;32;36;4;0;40;593
Lycée Blaise Pascal;CPGE - PCSI;;48;0;0;0;15;30;2;0;0;0;32;64;4;48;1578
I.U.T du Limousin - site de Limoges;BUT - Génie biologique parcours sciences de l'aliment et biotechnologie;;48;0;13;17;6;2;0;0;34;45;16;5;0;49;622
Lycée Jean Jaures;CPGE - PCSI;;48;0;1;5;0;0;0;0;17;83;0;0;0;30;560
Lycée Alain-Fournier;CPGE - MPSI;;48;0;1;8;10;3;1;0;4;35;43;13;4;26;842
Lycée Louis Barthou;CPGE - BCPST;;48;0;0;9;26;7;0;0;0;21;62;17;0;45;1012
Université Le Havre Normandie;Licence - Portail Portail : Chimie, Sciences de la Vie (CSV);Portail : Chimie, Sciences de la Vie (CSV);48;0;20;12;3;0;0;0;57;34;9;0;0;44;570
Lycée général Clemenceau;CPGE - MP2I;;48;0;0;1;10;29;7;0;0;2;21;62;15;48;1384
Lycée Descartes;CPGE - MP2I;;48;0;0;0;11;30;7;0;0;0;23;62;15;48;1296
Lycée Hoche;CPGE - MPSI;;48;0;0;0;1;21;25;0;0;0;2;44;52;48;3626
Lycée Paul Cezanne;CPGE - Lettres;;48;0;0;8;30;10;2;0;0;16;60;20;4;51;757
IFMEM Institut de formation de manipulateur d'électroradiologie médicale;D.E manipulateur/trice en électroradiologie médicale;;48;0;6;13;1;1;0;0;29;62;5;5;0;46;699
Lycée CLEMENCEAU;CPGE - BCPST;;48;0;0;1;9;35;3;0;0;2;19;73;6;48;1236
Lycée Franklin Roosevelt;CPGE - ECT - Option technologique;;48;0;9;12;4;1;0;0;35;46;15;4;0;29;220
Lycée Jacques Decour;CPGE - MPSI;;48;0;0;2;25;15;0;0;0;5;60;36;0;44;2739
Lycée Turgot;CPGE - ENS Rennes D1;;48;0;0;1;8;39;4;0;0;2;15;75;8;52;2323
Lycée BENJAMIN FRANKLIN;CPGE - TSI;;48;0;2;21;14;2;0;0;5;52;35;5;0;45;262
Lycée Lamartine;CPGE - Lettres;;48;0;1;8;17;6;1;0;3;24;52;18;3;37;1188
Lycée Buffon;CPGE - PCSI;;48;0;1;5;26;14;0;0;2;11;57;30;0;46;1977
Lycée Janson De Sailly;CPGE - Lettres;;48;0;0;0;22;25;1;0;0;0;46;52;2;48;1859
Lycée Janson De Sailly;CPGE - B/L - Lettres et sciences sociales;;48;0;0;0;0;24;25;0;0;0;0;49;51;49;2159
Lycée Jean-Baptiste Say;CPGE - BCPST;;48;0;0;8;32;5;0;0;0;18;71;11;0;45;1973
Université de Rennes 1;Licence - Mathématiques - Parcours DEFI Mathématiques;DEFI Mathématiques;48;0;1;3;16;9;2;0;3;10;52;29;6;37;770
Lycée Du Hainaut;CPGE - TSI;;48;0;5;8;11;2;1;0;19;30;41;7;4;52;197
Lycée Sainte Marie;CPGE - PCSI;;48;0;0;0;2;4;0;0;0;0;33;67;0;10;252
Lycée Henri IV;CPGE - BCPST;;48;0;0;0;1;36;25;0;0;0;2;58;40;62;2670
Lycée Fénelon;CPGE - PCSI;;48;0;0;0;4;33;5;0;0;0;10;79;12;42;3587
Institut Catholique de Lille-Faculté de Gestion, Economie et Sciences;Licence - Informatique - Parcours Sciences du numérique;Sciences du numérique;48;0;8;9;4;2;0;0;35;39;17;9;0;48;223
Lycée Pierre d'Ailly;CPGE - Lettres;;48;0;3;3;9;5;0;0;15;15;45;25;0;22;202
Lycée Marie Curie;CPGE - PTSI;;48;0;3;11;15;8;0;0;8;30;41;22;0;43;452
Lycée Bazeilles;BTS - Services - Tourisme;;48;0;15;9;3;0;0;0;56;33;11;0;0;39;770
Lycée Honoré d'Estienne d'Orves (Beau-Site);BTS - Services - Support à l'action managériale;;48;0;16;7;5;0;0;0;57;25;18;0;0;45;506
Lycée Andre Malraux;Diplôme de Comptabilité et de Gestion;;48;0;8;14;7;1;0;0;27;47;23;3;0;38;775
Lycée Jean Perrin;CPGE - MPSI;;48;0;0;4;19;21;0;0;0;9;43;48;0;46;2619
Institut Agricole Secondaire Jean Errecart;BTS - Agricole - Gestion et protection de la nature;;48;0;9;26;4;2;0;0;22;63;10;5;0;46;368
Lycée Esthétique de Touraine;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie;;48;0;5;11;3;2;0;0;24;52;14;10;0;35;315
Lycée Frédéric Mistral;CPGE - Lettres;;48;0;3;6;17;12;0;0;8;15;44;31;0;43;588
Lycée Charles-De-Gaulle;CPGE - ECG -  - Mathématiques approfondies + ESH;;48;0;1;3;14;6;0;0;4;12;58;25;0;24;312
Lycée Leconte de Lisle;CPGE - PCSI;;48;0;2;5;5;8;3;0;9;22;22;35;13;26;266
Lycée Henri Martin;CPGE - Lettres;;48;0;4;5;11;5;0;0;16;20;44;20;0;27;234
Lycée Gaston Berger;CPGE - ENS Cachan D2;;48;0;0;8;5;6;0;0;0;42;26;32;0;19;503
CPI Lille (ENSC Lille);Formation d'ingénieur Bac + 5 - Bac Général;Bac Général;48;0;0;0;1;36;11;0;0;0;2;75;23;51;1167
Lycée François 1er;CPGE - MPSI;;48;0;0;3;9;17;1;0;0;10;30;57;3;31;843
Lycée Albert Chatelet;CPGE - B/L - Lettres et sciences sociales;;48;0;0;1;11;8;5;0;0;4;44;32;20;26;658
Lycée HENRI IV;CPGE - B/L - Lettres et sciences sociales;;48;0;0;5;11;5;0;0;0;24;52;24;0;22;673
Lycée Jean Mermoz;CPGE - ENS Rennes D1;;48;0;0;0;21;27;0;0;0;0;44;56;0;48;1553
Lycée Paul Valery;CPGE - Lettres;;48;0;1;9;15;6;2;0;3;27;45;18;6;35;1211
Lycée Jeanne D'Albret;CPGE - Lettres;;48;0;1;5;14;4;0;0;4;21;58;17;0;26;376
Lycée Notre Dame De Sion;CPGE - MPSI;;48;0;1;19;14;2;0;0;3;53;39;6;0;46;448
Institut de Formation en Ergothérapie ADERE;D.E Ergothérapeute;;48;0;5;12;7;3;0;0;19;44;26;11;0;49;635
Lycée Fresnel;BTS - Production - Systèmes photoniques;;48;0;9;2;0;0;0;0;82;18;0;0;0;23;430
Lycée Pothier;CPGE - BCPST;;48;0;0;2;21;16;0;0;0;5;54;41;0;40;1134
Lycée Fustel De Coulanges;CPGE - Ecole nationale des Chartes;;48;0;0;4;21;16;4;0;0;9;45;34;9;48;453
Lycée Chrestien de Troyes;CPGE - MPSI;;48;0;0;10;20;6;0;0;0;28;56;17;0;42;784
Lycée Thiers;CPGE - MP2I;;48;0;0;1;8;34;4;0;0;2;17;72;9;47;1189
Lycée International de Valbonne;CPGE - MP2I;;48;0;0;1;17;26;4;0;0;2;35;54;8;48;1080
Lycée Pierre De Fermat;CPGE - MP2I;;48;0;0;0;2;33;12;0;0;0;4;70;26;48;2056
Lycée Paul Valery;CPGE - MPSI;;48;0;1;6;26;8;0;0;2;15;63;20;0;45;2968
Lycée Jean Mermoz;CPGE - ENS Cachan D2;;48;0;2;6;17;10;1;0;6;17;47;28;3;43;595
Lycée général et technologique Henri Bergson;CPGE - PCSI;;48;0;0;2;30;11;0;0;0;5;70;26;0;43;1175
Lycée Henri Wallon;Diplôme de Comptabilité et de Gestion;;48;0;11;11;9;2;0;0;33;33;27;6;0;39;586
Lycée Pierre Corneille;CPGE - BCPST;;48;0;0;1;12;29;6;0;0;2;25;60;12;48;1248
Lycée Guez De Balzac;CPGE - Lettres;;48;0;1;5;15;10;2;0;3;15;45;30;6;33;396
Lycée De Saint Just;CPGE - B/L - Lettres et sciences sociales;;48;0;0;2;18;16;1;0;0;5;49;43;3;41;1196
ECOLE TECHNIQUE PRIVEE PASTEUR;BTS - Services - Opticien-Lunetier;;48;0;4;0;0;0;0;0;100;0;0;0;0;11;179
Lycée Louis Le Grand;CPGE - MP2I;;48;0;0;0;0;14;26;0;0;0;0;33;62;48;2444
Lycée Claude Bernard;CPGE - MPSI;;48;0;1;10;25;5;0;0;2;24;61;12;0;42;2008
Ecole Nationale De Commerce;CPGE - ENS Rennes D1;;48;0;0;1;8;30;3;0;0;2;19;71;7;50;2005
Lycée Pothier;CPGE - B/L - Lettres et sciences sociales;;48;0;0;1;16;7;1;0;0;4;64;28;4;28;880
Lycée Chaptal;CPGE - Lettres;;48;0;0;4;22;12;1;0;0;10;56;31;3;42;1363
Lycée Pierre-Gilles de Gennes - ENCPB;CPGE - MPSI;;48;0;3;7;30;10;1;0;6;14;59;20;2;51;1797
Lycée Pierre-Gilles de Gennes - ENCPB;CPGE - BCPST;;48;0;2;13;17;2;0;0;6;38;50;6;0;39;2428
Lycée Monge;BTS - Services - Négociation et digitalisation de la Relation Client (Seconde année possible en apprentissage);;48;0;11;18;2;0;0;0;35;58;6;0;0;35;813
Lycée Jean Perrin;CPGE - PCSI;;48;0;0;4;22;11;0;0;0;11;59;30;0;45;1082
Lycée Jeanne D'Albret;CPGE - PCSI;;48;0;0;1;22;21;1;0;0;2;49;47;2;46;875
I.U.T Clermont Auvergne - site de Montluçon;BUT - Génie mécanique et productique;;48;0;9;19;3;1;0;0;28;59;9;3;0;38;547
Lycée Montaigne;CPGE - B/L - Lettres et sciences sociales;;48;0;0;1;14;25;5;0;0;2;31;56;11;48;1592
Lycée Louis Thuillier;CPGE - MPSI;;48;0;1;6;21;14;3;0;2;13;47;31;7;47;926
Université de Bourgogne - site de Dijon;Licence - Parcours d'Accès Spécifique Santé (PASS);;48;0;0;1;11;32;4;0;0;2;23;67;8;49;3563
Lycée général privé Externat Chavagnes;CPGE - BCPST;;48;0;1;15;11;2;0;0;3;52;38;7;0;34;611
Ecole Nationale De Commerce;CPGE - ENS Cachan D2;;48;0;5;7;29;4;0;0;11;16;64;9;0;46;1325
IFSI CH Falaise;D.E Infirmier;;47;0;6;14;6;3;0;0;21;48;21;10;0;47;2443
Lycée Jean-Baptiste Say;CPGE - PCSI;;47;0;0;2;26;13;4;0;0;4;58;29;9;45;1252
Lycée Carnot;CPGE - BCPST;;47;0;0;0;6;20;5;0;0;0;19;65;16;33;1621
Université Paul Valery - Montpellier 3;Licence - Langues étrangères appliquées - Parcours Espagnol - Arabe;Espagnol - Arabe;47;0;10;2;1;0;0;0;77;15;8;0;0;44;189
Institut Agro - AGROCAMPUS OUEST Angers;Formation d'ingénieur Bac + 5 - Horticulture - Paysage -  5 ans à Angers;Horticulture - Paysage -  5 ans à Angers;47;0;0;5;16;14;3;0;0;13;42;37;8;47;222
Lycée Charlemagne;CPGE - PCSI;;47;0;0;0;10;29;2;0;0;0;24;71;5;44;3314
IFSI CH Alès-Cévennes;D.E Infirmier;;47;0;8;20;9;0;0;0;22;54;24;0;0;47;6214
I.U.T de Ville d'Avray - Antenne de Nanterre;BUT - Gestion des entreprises et des administrations;;47;0;1;21;21;2;0;0;2;47;47;4;0;51;3271
Lycée Assomption Bellevue;CPGE - PCSI;;47;0;1;3;7;2;0;0;8;23;54;15;0;15;664
